INSERT INTO user_has_user (user_id, user_id1) VALUES
(77, 48),
(70, 37),
(63, 95),
(58, 58),
(88, 35),
(5, 76),
(49, 4),
(71, 31),
(79, 67),
(77, 6),
(70, 42),
(35, 77),
(40, 56),
(99, 54),
(13, 3),
(72, 99),
(7, 48),
(85, 28),
(81, 32),
(33, 95),
(16, 79),
(66, 33),
(35, 21),
(54, 81),
(27, 10),
(63, 96),
(85, 45),
(2, 21),
(44, 42),
(10, 21),
(9, 48),
(53, 28),
(85, 66),
(44, 33),
(57, 66),
(77, 78),
(31, 43),
(82, 87),
(53, 25),
(63, 79),
(77, 11),
(36, 1),
(19, 51),
(12, 24),
(53, 40),
(30, 47),
(49, 69),
(92, 94),
(44, 95),
(5, 83),
(65, 22),
(51, 11),
(18, 83),
(61, 66),
(54, 26),
(70, 30),
(20, 35),
(68, 2),
(76, 59),
(30, 44),
(1, 43),
(81, 8),
(19, 58),
(74, 36),
(49, 99),
(53, 55),
(86, 31),
(76, 14),
(18, 73),
(92, 50),
(94, 86),
(87, 11),
(80, 91),
(29, 25),
(7, 77),
(94, 7),
(29, 44),
(37, 20),
(19, 79),
(3, 4),
(37, 3),
(45, 11),
(8, 72),
(47, 49),
(13, 74),
(73, 73),
(87, 13),
(64, 64),
(42, 86),
(46, 77),
(63, 3),
(19, 2),
(72, 14),
(84, 1),
(60, 96),
(2, 22),
(31, 89),
(58, 19),
(78, 4),
(32, 1),
(29, 99),
(53, 40),
(34, 13),
(65, 97),
(59, 93),
(23, 4),
(52, 22),
(2, 23),
(43, 49),
(79, 54),
(37, 67),
(25, 89),
(54, 74),
(33, 17),
(13, 42),
(33, 3),
(56, 39),
(15, 28),
(82, 56),
(55, 43),
(50, 32),
(46, 24),
(13, 43),
(30, 58),
(21, 54),
(60, 84),
(51, 72),
(13, 56),
(38, 21),
(45, 56),
(77, 52),
(32, 76),
(95, 45),
(58, 86),
(62, 35),
(38, 42),
(37, 60),
(31, 23),
(35, 31),
(7, 55),
(58, 56),
(66, 64),
(38, 32),
(55, 11),
(4, 67),
(84, 34),
(40, 18),
(95, 91),
(31, 75),
(29, 3),
(48, 27),
(63, 81),
(22, 19),
(56, 41),
(8, 86),
(83, 68),
(33, 20),
(31, 7),
(37, 70),
(95, 58),
(36, 23),
(94, 48),
(64, 55),
(58, 3),
(71, 43),
(48, 54),
(93, 88),
(76, 44),
(51, 33),
(30, 16),
(66, 50),
(99, 58),
(75, 73),
(18, 87),
(65, 71),
(19, 19),
(81, 10),
(83, 1),
(69, 45),
(39, 88),
(21, 79),
(11, 64),
(79, 89),
(61, 93),
(84, 58),
(2, 53),
(66, 42),
(22, 74),
(48, 82),
(2, 86),
(15, 81),
(5, 3),
(69, 87),
(56, 49),
(79, 23),
(58, 78),
(15, 81),
(77, 73),
(76, 97),
(42, 39),
(86, 43),
(18, 86),
(71, 1),
(49, 90),
(14, 3),
(53, 11),
(7, 63),
(3, 9),
(60, 51),
(12, 48),
(29, 40),
(98, 90),
(23, 33),
(95, 17),
(13, 11),
(30, 59),
(67, 63),
(2, 62),
(98, 86),
(43, 27),
(46, 92),
(69, 80),
(46, 65),
(86, 59),
(81, 27),
(68, 74),
(11, 55),
(13, 33),
(61, 27),
(3, 43),
(96, 10),
(15, 95),
(91, 37),
(4, 22),
(77, 96),
(13, 69),
(9, 35),
(41, 92),
(79, 15),
(86, 36),
(52, 15),
(34, 48),
(5, 61),
(98, 34),
(28, 44),
(15, 86),
(29, 82),
(53, 8),
(35, 71),
(97, 3),
(68, 54),
(63, 41),
(52, 37),
(18, 61),
(28, 92),
(97, 68),
(28, 85),
(8, 45),
(83, 84),
(61, 90),
(79, 6),
(59, 9),
(77, 77),
(54, 45),
(40, 64),
(45, 60),
(90, 97),
(25, 75),
(30, 95),
(49, 73),
(20, 38),
(1, 82),
(73, 32),
(87, 49),
(13, 79),
(58, 27),
(77, 84),
(70, 23),
(60, 2),
(42, 29),
(62, 66),
(97, 77),
(25, 90),
(57, 19),
(12, 59),
(64, 35),
(47, 6),
(70, 37),
(8, 86),
(35, 99),
(57, 45),
(67, 70),
(40, 22),
(22, 62),
(39, 97),
(93, 80),
(94, 94),
(34, 75),
(6, 67),
(17, 39),
(88, 78),
(14, 47),
(80, 45),
(23, 96),
(27, 97),
(58, 75),
(81, 35),
(4, 94),
(44, 29),
(32, 52),
(84, 75),
(40, 62),
(87, 23),
(12, 75),
(85, 95),
(93, 48),
(43, 93),
(82, 81),
(4, 7),
(91, 91),
(31, 96),
(32, 12),
(11, 65),
(52, 49),
(9, 65),
(87, 27),
(5, 61),
(96, 32),
(98, 30),
